,Topik 1,Topik 2,Topik 3,Total Proporsi Kata
abad,0.2051746911924276,0.6636431732609659,0.13118213554660663,1.0
abadi,0.057707529953106636,0.8163365204555041,0.12595594959138923,1.0
abil,0.06510924149420304,0.08589469029846797,0.848996068207329,1.0
abjad,0.0821300556133647,0.036751140122576416,0.8811188042640589,1.0
absensi,0.8963299919195357,0.039408563252032604,0.0642614448284318,1.0
absolut,0.8982595262572491,0.03794334916135924,0.06379712458139171,1.0
abstract,0.2155045239418132,0.5820921072471158,0.2024033688110711,1.0
abstractpada,0.06516371752366773,0.0837938025994208,0.8510424798769114,1.0
abstrak,0.22625611073704333,0.4015499279669157,0.37219396129604104,1.0
abstraksemakin,0.09483493256347364,0.704725410639151,0.20043965679737544,1.0
abstraksi,0.12103265435986274,0.014190698874496532,0.8647766467656407,1.0
acak,0.1173736661012064,0.5155259618224464,0.3671003720763472,1.0
acceler,0.6336687369519329,0.13581730042591617,0.2305139626221509,1.0
acceleromet,0.12618086561826203,0.7995622909942324,0.07425684338750571,1.0
accept,0.2727371365785811,0.6713998291793803,0.0558630342420385,1.0
access,0.027590376337945803,0.9126563631540195,0.059753260508034506,0.9999999999999999
account,0.02687889503610455,0.03474643464694587,0.9383746703169495,1.0
accuraci,0.8032686131535928,0.015865717485811354,0.18086566936059598,1.0
accuracynya,0.7601090803219004,0.08904212023410632,0.15084879944399335,1.0
achmad,0.3773889012229689,0.4853257578557076,0.13728534092132352,1.0
aclam,0.0778128907801824,0.3824915625224864,0.5396955466973312,1.0
acnekomedo,0.09175393307146779,0.7079783754406744,0.20026769148785764,0.9999999999999998
acommerc,0.04208965579773639,0.8660429124809712,0.09186743172129241,1.0
action,0.29412740775236434,0.06338803569845428,0.6424845565491814,1.0
actionplatform,0.038044086705138536,0.04946965355843544,0.912486259736426,1.0
actionscript,0.09175393312353836,0.7079783751047847,0.20026769177167694,0.9999999999999999
activ,0.8199244450304258,0.06801367160549246,0.11206188336408164,0.9999999999999999
actor,0.6296519089532996,0.1400583172220471,0.23028977382465335,1.0
acuan,0.5397615685743145,0.19806702412433067,0.26217140730135485,1.0
acuannya,0.09216104016260802,0.7075485456931243,0.2002904141442677,1.0
acut,0.9363180749392767,0.023610071032114335,0.040071854028608994,1.0
ad,0.09175393300540721,0.7079783758501682,0.20026769114442464,1.0
adaboost,0.8993674613296594,0.03730950948719815,0.06332302918314237,0.9999999999999999
